timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726050796594,98,v1,null 0,java.sql.SQLException: Error preloading the connection pool,setUp Thread Group 1-140,text,false,,36,0,150,150,null,0,0,98
1726050795776,942,v1,200,OK,setUp Thread Group 1-24,text,true,,42,0,150,150,null,942,0,391
1726050795712,1006,v1,200,OK,setUp Thread Group 1-15,text,true,,42,0,150,150,null,1006,0,410
1726050795670,1049,v1,200,OK,setUp Thread Group 1-9,text,true,,42,0,150,150,null,1049,0,452
1726050796034,685,v1,200,OK,setUp Thread Group 1-61,text,true,,42,0,150,150,null,685,0,108
1726050795991,729,v1,200,OK,setUp Thread Group 1-55,text,true,,42,0,150,150,null,729,0,137
1726050796150,570,v1,200,OK,setUp Thread Group 1-71,text,true,,42,0,150,150,null,570,0,55
1726050795837,883,v1,200,OK,setUp Thread Group 1-33,text,true,,42,0,150,150,null,883,0,288
1726050795638,1081,v1,200,OK,setUp Thread Group 1-4,text,true,,42,0,150,150,null,1081,0,505
1726050795746,976,v1,200,OK,setUp Thread Group 1-20,text,true,,42,0,150,150,null,976,0,424
1726050795638,1084,v1,200,OK,setUp Thread Group 1-3,text,true,,42,0,150,150,null,1084,0,487
1726050796217,506,v1,200,OK,setUp Thread Group 1-87,text,true,,42,0,150,150,null,506,0,135
1726050795754,971,v1,200,OK,setUp Thread Group 1-21,text,true,,42,0,150,150,null,971,0,384
1726050796155,570,v1,200,OK,setUp Thread Group 1-77,text,true,,42,0,150,150,null,570,0,44
1726050796068,657,v1,200,OK,setUp Thread Group 1-66,text,true,,42,0,150,150,null,657,0,67
1726050795999,726,v1,200,OK,setUp Thread Group 1-56,text,true,,42,0,150,150,null,726,0,137
1726050796168,557,v1,200,OK,setUp Thread Group 1-80,text,true,,42,0,150,150,null,557,0,45
1726050795684,1042,v1,200,OK,setUp Thread Group 1-11,text,true,,42,0,150,150,null,1042,0,441
1726050795936,792,v1,200,OK,setUp Thread Group 1-47,text,true,,42,0,150,150,null,792,0,202
1726050795958,772,v1,200,OK,setUp Thread Group 1-50,text,true,,42,0,150,150,null,772,0,178
1726050795966,764,v1,200,OK,setUp Thread Group 1-51,text,true,,42,0,150,150,null,764,0,171
1726050796237,494,v1,200,OK,setUp Thread Group 1-90,text,true,,42,0,150,150,null,493,0,163
1726050796027,705,v1,200,OK,setUp Thread Group 1-60,text,true,,42,0,150,150,null,705,0,110
1726050795638,1094,v1,200,OK,setUp Thread Group 1-2,text,true,,42,0,150,150,null,1094,0,495
1726050796257,475,v1,200,OK,setUp Thread Group 1-93,text,true,,42,0,150,150,null,474,0,146
1726050795901,832,v1,200,OK,setUp Thread Group 1-42,text,true,,42,0,150,150,null,832,0,221
1726050795645,1088,v1,200,OK,setUp Thread Group 1-5,text,true,,42,0,150,150,null,1088,0,492
1726050796188,545,v1,200,OK,setUp Thread Group 1-82,text,true,,42,0,150,150,null,545,0,36
1726050796153,581,v1,200,OK,setUp Thread Group 1-74,text,true,,42,0,150,150,null,581,0,54
1726050796207,527,v1,200,OK,setUp Thread Group 1-85,text,true,,42,0,150,150,null,527,0,75
1726050796693,42,v2,null 0,"java.sql.SQLException: Cannot create PoolableConnectionFactory (Data source rejected establishment of connection,  message from server: ""Too many connections"")",setUp Thread Group 1-140,text,false,,136,0,150,150,null,0,0,42
1726050796652,83,v1,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (Too many connections),setUp Thread Group 1-148,text,false,,62,0,150,150,null,0,0,83
1726050796214,528,v1,200,OK,setUp Thread Group 1-86,text,true,,42,0,150,150,null,528,0,158
